,valor,frecuencia,total_comprado,materiales_unicos,zona
109,Alto,Alta,10261.8,41,205.0
117,Alto,Media,4378.94,17,209.0
118,Medio,Media,2740.75,8,209.0
134,Medio,Baja,1123.92,5,209.0
136,Bajo,Baja,627.36,4,205.0
143,Bajo,Baja,194.4,1,205.0
148,Bajo,Baja,1.8,1,205.0
159,Bajo,Baja,97.2,1,209.0
168,Medio,Media,1560.69,11,209.0
174,Alto,Alta,6951.6,20,209.0
178,Alto,Alta,8186.94,16,209.0
290,Medio,Media,2662.74,13,209.0
100187,Medio,Media,1939.5,9,209.0
100338,Alto,Alta,9870.84,21,209.0
100386,Medio,Alta,2304.54,41,205.0
100387,Medio,Media,2722.44,11,209.0
100447,Bajo,Alta,1056.21,32,209.0
100481,Alto,Media,4017.6,9,209.0
100513,Alto,Alta,6483.42,31,205.0
100525,Bajo,Baja,648.0,3,205.0
100553,Alto,Alta,7022.88,21,209.0
100593,Alto,Alta,4198.38,23,209.0
100599,Alto,Alta,5226.37,24,209.0
100608,Medio,Baja,2732.22,6,209.0
100618,Medio,Media,2159.82,16,209.0
100627,Alto,Alta,4108.96,30,209.0
100635,Alto,Alta,22001.4,58,209.0
100638,Alto,Media,3939.3,12,209.0
100693,Bajo,Baja,553.5,4,209.0
100752,Bajo,Baja,723.06,5,205.0
100780,Bajo,Baja,842.4,8,205.0
100796,Alto,Alta,6975.34,33,209.0
100864,Bajo,Baja,14.49,1,205.0
100887,Alto,Alta,5849.14,13,209.0
100923,Medio,Baja,2042.82,8,209.0
101047,Medio,Baja,1393.2,9,205.0
101116,Medio,Baja,1429.02,6,205.0
101126,Bajo,Baja,388.8,2,205.0
101197,Alto,Alta,11521.67,42,205.0
101225,Bajo,Media,1080.0,9,205.0
101226,Alto,Alta,13217.85,24,209.0
101240,Medio,Media,1224.88,10,209.0
101243,Medio,Media,1588.23,9,205.0
101257,Bajo,Baja,138.96,4,205.0
101272,Alto,Alta,21428.41,44,205.0
101274,Bajo,Media,818.46,10,205.0
101492,Medio,Media,2981.7,9,205.0
101568,Medio,Baja,1488.6,9,209.0
101966,Bajo,Baja,1004.4,7,205.0
102160,Alto,Alta,6427.62,29,209.0
102165,Alto,Alta,4013.85,24,209.0
102208,Bajo,Baja,42.12,1,205.0
102392,Alto,Media,3724.74,14,209.0
104385,Medio,Alta,1303.24,123,209.0
117551,Bajo,Baja,388.8,4,209.0
120226,Bajo,Baja,530.82,5,205.0
121361,Medio,Media,3316.08,13,209.0
128117,Bajo,Baja,777.6,3,205.0
133651,Medio,Media,2292.3,14,205.0
133748,Alto,Media,4952.15,14,209.0
137211,Medio,Alta,1497.66,28,205.0
137554,Bajo,Baja,574.56,6,205.0
139469,Bajo,Baja,205.38,4,205.0
142900,Alto,Alta,7778.37,34,209.0
144988,Bajo,Alta,1078.47,17,209.0
145931,Bajo,Baja,6.21,1,209.0
149722,Medio,Media,2932.2,6,209.0
153348,Medio,Media,1897.92,14,205.0
154459,Bajo,Media,816.3,9,205.0
159414,Alto,Alta,8469.99,32,209.0
159447,Medio,Media,1254.36,16,209.0
179422,Medio,Media,1178.82,11,205.0
