IDCliente,NombreCliente,Material,SKU,Descripcion,Grupo_Material_1,Grupo_Material_3,Grupo_Material_4,Grupo_Vendedores,zona_ventas,Mes_prediccion,Trimestre,Año,cantidad_sugerida,metodo,es_descontinuado,tiene_sustitutos,sustitutos,datos_usados,segmento_cliente,frecuencia_cliente,ultima_compra,registros_historicos,registros_directos,promedio_historico,factor_estacional,MAD,MAPE,ACC
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201386,201386,MACERATA MARFIL 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,1672.151,multiple_regression,False,False,[],directos,Alto,Alta,2025-06-28,4,4,170.505,1.04,97.2,50.28,0.4972
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201386,201386,MACERATA MARFIL 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,1755.506,multiple_regression,False,False,[],directos,Alto,Alta,2025-06-28,4,4,170.505,1.04,97.2,50.28,0.4972
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201386,201386,MACERATA MARFIL 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,1823.188,multiple_regression,False,False,[],directos,Alto,Alta,2025-06-28,4,4,170.505,1.04,97.2,50.28,0.4972
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203061,203061,ITRIA BEIGE 60X60 PRIMERA,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,454.916,multiple_regression,False,False,[],directos,Alto,Alta,2025-07-28,4,4,197.01,1.04,124.38,1191.38,-10.9138
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203061,203061,ITRIA BEIGE 60X60 PRIMERA,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,417.296,multiple_regression,False,False,[],directos,Alto,Alta,2025-07-28,4,4,197.01,1.04,124.38,1191.38,-10.9138
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203061,203061,ITRIA BEIGE 60X60 PRIMERA,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,366.625,multiple_regression,False,False,[],directos,Alto,Alta,2025-07-28,4,4,197.01,1.04,124.38,1191.38,-10.9138
109,MULTICENTRO COMERCIALIZADORA/GIRARD,260022,260022,MORANDI GRIS 58.4X118.4 GB,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Alta,2025-06-28,4,4,112.815,1.04,137.655,997.5,-8.975
109,MULTICENTRO COMERCIALIZADORA/GIRARD,260022,260022,MORANDI GRIS 58.4X118.4 GB,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Alta,2025-06-28,4,4,112.815,1.04,137.655,997.5,-8.975
109,MULTICENTRO COMERCIALIZADORA/GIRARD,260022,260022,MORANDI GRIS 58.4X118.4 GB,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Alta,2025-06-28,4,4,112.815,1.04,137.655,997.5,-8.975
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263038,263038,PICASSO 58.4 X118.4 GB RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,594.2,multiple_regression,False,False,[],enriquecidos,Alto,Alta,2025-08-27,3,2,131.1,1.0,,,
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263038,263038,PICASSO 58.4 X118.4 GB RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,664.413,multiple_regression,False,False,[],enriquecidos,Alto,Alta,2025-08-27,3,2,131.1,1.15,,,
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263038,263038,PICASSO 58.4 X118.4 GB RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,552.851,multiple_regression,False,False,[],enriquecidos,Alto,Alta,2025-08-27,3,2,131.1,1.15,,,
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263041,263041,GARDNOS 58.4X118.4 GB RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,594.2,multiple_regression,False,False,[],enriquecidos,Alto,Alta,2025-08-27,3,1,131.1,1.0,,,
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263041,263041,GARDNOS 58.4X118.4 GB RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,664.413,multiple_regression,False,False,[],enriquecidos,Alto,Alta,2025-08-27,3,1,131.1,1.15,,,
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263041,263041,GARDNOS 58.4X118.4 GB RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,552.851,multiple_regression,False,False,[],enriquecidos,Alto,Alta,2025-08-27,3,1,131.1,1.15,,,
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263061,263061,BARROCO 58.4X118.4 GB DUAL RECT,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Alta,2025-08-27,3,3,112.47,1.0,,,
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263061,263061,BARROCO 58.4X118.4 GB DUAL RECT,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Alta,2025-08-27,3,3,112.47,1.15,,,
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263061,263061,BARROCO 58.4X118.4 GB DUAL RECT,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Alta,2025-08-27,3,3,112.47,1.15,,,
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263063,263063,LIBANO MIEL 19.3X118.4 GB DUAL RECT,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Alta,2025-08-14,4,4,123.975,1.04,80.37,2350.0,-22.5
109,MULTICENTRO COMERCIALIZADORA/GIRARD,263063,263063,LIBANO MIEL 19.3X118.4 GB DUAL RECT,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,0.0,multiple_regression,False,False,[],directos,Alto,Alta,2025-08-14,4,4,123.975,1.04,80.37,2350.0,-22.5
