Doc.fact.,ClFac,OrgVt,CDis,Fechacompra,Año,zona de ventas ,IDCliente,cantidadComprada,UMB,SKU,Descripción de SKU,NombreCliente,Grupo de vendedores,Grupo de materiales 1,Grupo de materiales 3,Grupo de materiales 4
87140434,G2,1000,10,6/16/2025,2025,209,102160,1.800,M2,202227,EXTERIOR MEDELLIN GRIS 60X60 PRIMERA,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,EXTERIORES,REVESTIMIENTO
87140434,G2,1000,10,6/16/2025,2025,209,102160,1.800,M2,203044,TRENTINO 60X60 PRIMERA,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,MARMOL,REVESTIMIENTO
87140434,G2,1000,10,6/16/2025,2025,209,102160,1.800,M2,203061,ITRIA BEIGE 60X60 PRIMERA,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87140435,G2,1000,10,6/16/2025,2025,209,102160,3.600,M2,202227,EXTERIOR MEDELLIN GRIS 60X60 PRIMERA,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,EXTERIORES,REVESTIMIENTO
87140435,G2,1000,10,6/16/2025,2025,209,102160,3.600,M2,203045,CATANIA 60X60 PRIMERA,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,MARMOL,REVESTIMIENTO
87140435,G2,1000,10,6/16/2025,2025,209,102160,3.240,M2,203041,MARMOL OSLO 30X60 PRIMERA,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,MARMOL,REVESTIMIENTO
87140942,G2,1000,10,7/23/2025,2025,209,102160,2.070,M2,263045,VATICANO 58.4 X118.4 GB RECT,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceranatto,MARMOL,REVESTIMIENTO
87140942,G2,1000,10,7/23/2025,2025,209,102160,4.140,M2,263038,PICASSO 58.4 X118.4 GB RECT,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceranatto,MARMOLIZADOS,REVESTIMIENTO
87140942,G2,1000,10,7/23/2025,2025,209,102160,3.240,M2,243070,ASTRO DECOR 30X60 GB,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,ACENTOS / DECORADOS,REVESTIMIENTO
87140942,G2,1000,10,7/23/2025,2025,209,102160,1.620,M2,243050,MARMOL ALBA 30X60  GB,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,MARMOLIZADOS,REVESTIMIENTO
EP0170862,ZFNA,1000,10,5/30/2025,2025,209,102160,129.600,M2,202227,EXTERIOR MEDELLIN GRIS 60X60 PRIMERA,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,EXTERIORES,REVESTIMIENTO
EP0170862,ZFNA,1000,10,5/30/2025,2025,209,102160,97.200,M2,243152,BROOKLYN 30X60 GB,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,OXIDOS,REVESTIMIENTO
EP0170862,ZFNA,1000,10,5/30/2025,2025,209,102160,129.600,M2,203045,CATANIA 60X60 PRIMERA,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,MARMOL,REVESTIMIENTO
EP0170862,ZFNA,1000,10,5/30/2025,2025,209,102160,388.800,M2,203060,MADERA SABINO 60X60 PRIMERA,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,MADERAS,REVESTIMIENTO
EP0170862,ZFNA,1000,10,5/30/2025,2025,209,102160,194.400,M2,203041,MARMOL OSLO 30X60 PRIMERA,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,MARMOL,REVESTIMIENTO
EP0170863,ZFNA,1000,10,5/30/2025,2025,209,102160,129.600,M2,202227,EXTERIOR MEDELLIN GRIS 60X60 PRIMERA,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,EXTERIORES,REVESTIMIENTO
EP0170863,ZFNA,1000,10,5/30/2025,2025,209,102160,259.200,M2,203045,CATANIA 60X60 PRIMERA,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,MARMOL,REVESTIMIENTO
